field_key,operator_value,operator_evidence_ref,required_format,request_id,target_id,source_request_template,claim_boundary
source_id,,,stable internal source id for the acquired pre-native prediction,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
prediction_pdb,,,path to acquired pre-native prediction PDB,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
prediction_pdb_dropzone,,,first-slot dropzone path after operator acquisition,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
prediction_created_at,,,YYYY-MM-DD; must be earlier than native_release_date,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
native_release_date,,,authoritative native release date used for chronology comparison,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
native_authority_ref,,,authority reference for the native release date,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
creation_evidence_ref,,,timestamp/job/archive evidence for prediction creation,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
no_leak_evidence_ref,,,independent no-leak evidence for the prediction source,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
method_summary,,,short internal method/source summary,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
operator_clearance,,,operator_cleared only after evidence review,source_request_003,HIST_CRAMBIN,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,operator_fill_only_not_proof
