fill_id,request_index,request_id,candidate_target_id,candidate_scope,request_kind,field_order,field_key,operator_template_csv,operator_value,operator_evidence_ref,operator_notes,value_status,evidence_status,fill_status,first_blocker,next_action
source_request_operator_fill_133,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,1,source_id,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_134,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,2,prediction_pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_135,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,3,prediction_pdb_dropzone,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_136,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,4,prediction_created_at,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_137,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,5,native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_138,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,6,prediction_created_at/native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_139,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,7,native_authority_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_140,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,8,creation_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_141,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,9,no_leak_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_142,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,10,method_summary,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_143,13,source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,11,operator_clearance,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
