dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,current_value,recommended_value,patch_status,apply_status,blocker,apply_plan_csv,apply_plan_md,next_action
priority_013_REQUIRED_COMPLEX_003,361,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,hist_REQUIRED_COMPLEX_003,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,362,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,target_identity,target_id,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,REQUIRED_COMPLEX_003,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,363,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,runs/casp17_historical_benchmark_predictions_current/REQUIRED_COMPLEX_003_prediction.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,364,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,runs/casp17_historical_benchmark_natives_current/REQUIRED_COMPLEX_003_native.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,365,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,REQUIRED_NO_LEAK_CLEARANCE,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,366,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,REQUIRED_INTERNAL_METHOD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,367,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,YYYY-MM-DD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,368,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,YYYY-MM-DD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,369,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,REQUIRED_TRUE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_013_REQUIRED_COMPLEX_003,370,13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
