dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,current_value,recommended_value,intake_status,patch_status,blocker,dry_run_csv,dry_run_md,next_action
priority_008_REQUIRED_MONOMER_008,211,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,hist_REQUIRED_MONOMER_008,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,212,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,target_identity,target_id,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,REQUIRED_MONOMER_008,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,213,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_008_prediction.pdb,,awaiting_dropzone_file,awaiting_evidence,awaiting_dropzone_file,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,214,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_008_native.pdb,,awaiting_dropzone_file,awaiting_evidence,awaiting_dropzone_file,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,215,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,REQUIRED_NO_LEAK_CLEARANCE,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,216,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,REQUIRED_INTERNAL_METHOD,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,217,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,YYYY-MM-DD,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,218,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,YYYY-MM-DD,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,219,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,REQUIRED_TRUE_CONFIRMATION,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_008_REQUIRED_MONOMER_008,220,8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
