fill_id,request_index,request_id,candidate_target_id,candidate_scope,request_kind,field_order,field_key,operator_template_csv,operator_value,operator_evidence_ref,operator_notes,value_status,evidence_status,fill_status,first_blocker,next_action
source_request_operator_fill_166,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,1,source_id,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_167,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,2,prediction_pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_168,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,3,prediction_pdb_dropzone,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_169,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,4,prediction_created_at,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_170,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,5,native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_171,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,6,prediction_created_at/native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_not_required,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_172,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,7,native_authority_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_173,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,8,creation_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_174,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,9,no_leak_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_175,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,10,method_summary,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
source_request_operator_fill_176,16,source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,11,operator_clearance,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,,,,operator_value_missing,evidence_required_missing,blocked_candidate_replacement_required,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before filling source fields
