ligand_id,smiles,molecular_weight,logp,h_donors,h_acceptors,rot_bonds,scaffold
erlotinib,COCCOC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC=C3,393.44,2.7,1,6,8,quinazoline
nilotinib,CC1=NC(=CC=C1)NCC2=CC=C(C=C2)NC(=O)C3=CN=CC=C3,529.52,3.2,2,8,9,aminopyrimidine
imatinib,CC1=CC=CC=C1NC(=O)NCC2=CC=NC=C2N3CCN(CC3)C,493.60,2.6,2,8,10,anilide
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.28,3.5,1,2,4,arylpropionic_acid
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2,1,4,3,salicylate
caffeine,CN1C=NC2=C1N(C)C(=O)N(C)C(=O)N2C,194.19,-0.1,0,6,0,xanthine
chembl2177429,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)CC1,516.56,4.267,2,5,7,O=C(Cc1ccccc1)NCc1cccnc1N1CCCCC1
chembl3393837,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3cnccc23)CC1,443.47,5.207,2,4,4,O=C(NCc1cccnc1N1CCCCC1)Nc1cccc2cnccc12
chembl3407762,CCCCOc1nc(C(F)(F)Cl)ccc1CNC(=O)C(C)c1ccc(NS(C)(=O)=O)c(F)c1,507.96,4.479,2,5,11,O=C(Cc1ccccc1)NCc1cccnc1
chembl3627723,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,532.63,6.061,2,4,8,O=C(Cc1ccccc1)NCc1ccccc1SC1CCCCC1
chembl3627950,CC(C(=O)NCc1ccc(C(F)(F)F)cc1SC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,518.60,5.671,2,4,8,O=C(Cc1ccccc1)NCc1ccccc1SC1CCCC1
chembl3407765,CC(C(=O)NCc1ccc(C(F)(F)Cl)nc1OC1CCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,519.97,4.622,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OC1CCCC1
chembl3689037,CC(C(=O)NCc1cc(C(C)(C)C)nn1-c1cccc(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,507.03,4.754,2,5,7,O=C(Cc1ccccc1)NCc1ccnn1-c1ccccc1
chembl2442912,CC(C(=O)NCc1ccc(C(F)(F)F)nc1SC1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,533.61,5.456,2,5,8,O=C(Cc1ccccc1)NCc1cccnc1SC1CCCCC1
chembl3314406,CC1C=C(c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(NS(C)(=O)=O)c(F)c2)CCC1,513.56,5.234,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1C1=CCCCC1
chembl3427109,Cc1cccc(C(C(=O)NCc2ccc(C(F)(F)F)nc2N2CCC(C)CC2)c2ccc(NS(C)(=O)=O)c(F)c2)c1,592.66,5.604,2,5,8,O=C(NCc1cccnc1N1CCCCC1)C(c1ccccc1)c1ccccc1
chembl5926013,CC(C)(C)c1nc(-c2cccc(Cl)c2)c(CNC(=O)Nc2cccc3cnccc23)s1,451.00,6.631,2,4,4,O=C(NCc1scnc1-c1ccccc1)Nc1cccc2cnccc12
chembl228451,CC(C)(C)c1ccc(CNC(=S)NCc2ccc(NS(C)(=O)=O)cc2)cc1,405.59,3.520,3,3,6,S=C(NCc1ccccc1)NCc1ccccc1
chembl441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,372.90,4.387,1,3,2,O=C(Nc1ccccc1)N1CCN(c2ccccn2)CC1
chembl2177440,CC(C(=O)NCc1ccc(C(F)(F)F)nc1N1CCC(Cc2ccccc2)CC1)c1ccc(NS(C)(=O)=O)c(F)c1,592.66,5.490,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1N1CCC(Cc2ccccc2)CC1
chembl3314389,CC(C(=O)NCc1ccc(C(F)(F)F)nc1C1CCCCC1)c1ccc(NS(C)(=O)=O)c(F)c1,501.55,5.079,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1C1CCCCC1
chembl3317476,CC(C(=O)NCc1ccc(C(F)(F)F)nc1-c1ccc(F)c(Cl)c1)c1ccc(NS(C)(=O)=O)c(F)c1,547.93,5.490,2,4,7,O=C(Cc1ccccc1)NCc1cccnc1-c1ccccc1
chembl4781687,CC1CCN(c2nc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3[nH]c(=O)ccc23)CC1,459.47,4.500,3,4,4,O=C(NCc1cccnc1N1CCCCC1)Nc1cccc2[nH]c(=O)ccc12
chembl2385220,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCCC1CCCCN1C(=O)OC(C)(C)C)c1ccc(NS(C)(=O)=O)c(F)c1,646.70,5.589,2,7,10,O=C(Cc1ccccc1)NCc1cccnc1OCCC1CCCCN1
chembl2385246,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCC1CC1C)c1ccc(NS(C)(=O)=O)c(F)c1,503.52,4.066,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCC1CC1
chembl2385248,CC(C(=O)NCc1ccc(C(F)(F)F)nc1OCC1CCC1)c1ccc(NS(C)(=O)=O)c(F)c1,503.52,4.210,2,5,9,O=C(Cc1ccccc1)NCc1cccnc1OCC1CCC1
