target,domain
Hemoglobin_4HHB,globular
Lysozyme_1LYZ,globular
Myoglobin_1MBN,globular
RNaseA_7RSA,globular
Thioredoxin_2TRX,globular
Carbonic_Anhydrase_2_Zn,metal
CuZn_Superoxide_Dismutase,metal
Matrix_Metalloproteinase_1,metal
Hemerythrin_1HMD,metal
Zinc_Finger_1A1L,metal
p53_DBD_DNA_Complex,dna
TBP_DNA_Complex,dna
Lac_Repressor_DNA_Complex,dna
CAP_DNA_Complex,dna
Nucleosome_Core_1KX5,dna
Beta2AR_GPCR,membrane
KcsA_Potassium_Channel,membrane
Aquaporin_1,membrane
Bacteriorhodopsin_1C3W,membrane
OmpF_Porin_2OMF,membrane
Ubiquitin_1UBQ,globular
Calmodulin_1CLL,globular
Serum_Albumin_1AO6,globular
Lysozyme_C_Human_1LZ1,globular
Transthyretin_1F41,globular
Hemoglobin_Alpha_Human_1A3N,metal
Ferritin_H_2FHA,metal
Catalase_1QQW,metal
Carbonic_Anhydrase_1_1AZM,metal
Ceruloplasmin_1KCW,metal
Lambda_Repressor_DNA_1LMB,dna
Cro_Repressor_DNA_6CRO,dna
NFkB_p50_DNA_1SVC,dna
Estrogen_Receptor_DNA_1HCQ,dna
Glucocorticoid_Receptor_DNA_3G6P,dna
Rhodopsin_1F88,membrane
GLUT1_4PYP,membrane
SERCA1A_3W5A,membrane
Aquaporin_4_3GD8,membrane
Sodium_Potassium_ATPase_3WGU,membrane
