target,pdb_id,uniprot_id,notes
Hemoglobin_4HHB,4HHB,,ood_measured20_globular
Lysozyme_1LYZ,1LYZ,P00698,ood_measured20_globular
Myoglobin_1MBN,1MBN,P02144,ood_measured20_globular
RNaseA_7RSA,7RSA,P61823,ood_measured20_globular
Thioredoxin_2TRX,2TRX,P10599,ood_measured20_globular
Carbonic_Anhydrase_2_Zn,1CA2,P00918,ood_measured20_metal
CuZn_Superoxide_Dismutase,1CBJ,P00441,ood_measured20_metal
Matrix_Metalloproteinase_1,1SU3,P03956,ood_measured20_metal
Hemerythrin_1HMD,1HMD,,ood_measured20_metal
Zinc_Finger_1A1L,1A1L,,ood_measured20_metal
p53_DBD_DNA_Complex,1TSR,P04637,ood_measured20_dna
TBP_DNA_Complex,1CDW,P20226,ood_measured20_dna
Lac_Repressor_DNA_Complex,1LBG,P03023,ood_measured20_dna
CAP_DNA_Complex,1CGP,P0ACJ8,ood_measured20_dna
Nucleosome_Core_1KX5,1KX5,,ood_measured20_dna
Beta2AR_GPCR,2RH1,P07550,ood_measured20_membrane
KcsA_Potassium_Channel,1K4C,P0A334,ood_measured20_membrane
Aquaporin_1,1J4N,P29972,ood_measured20_membrane
Bacteriorhodopsin_1C3W,1C3W,P02945,ood_measured20_membrane
OmpF_Porin_2OMF,2OMF,P02931,ood_measured20_membrane
