queue_rank,required_benchmark_id,field_name,field_kind,recommended_value,source_status,source_path,destination_intake_csv,operator_action,notes
21,hist_REQUIRED_MONOMER_021,prediction_pdb,file,,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/prediction/replacement_prediction.pdb,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,place valid local prediction PDB at source_path,valid local prediction PDB
21,hist_REQUIRED_MONOMER_021,native_pdb,file,,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/native/replacement_native.pdb,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,place authoritative local native PDB at source_path,authoritative local native PDB
21,hist_REQUIRED_MONOMER_021,native_authority_ref,file,,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/authority/native_authority.md,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,place native authority/source reference at source_path,native authority/source reference
21,hist_REQUIRED_MONOMER_021,no_leak_evidence_ref,file,,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/no_leak/no_leak_evidence.md,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,place independent no-leak evidence at source_path,independent no-leak evidence
21,hist_REQUIRED_MONOMER_021,ablation_manifest_ref,file,,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/ablation/ablation_manifest.json,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,place same-run ablation manifest at source_path,same-run ablation manifest
21,hist_REQUIRED_MONOMER_021,calibration_values_ref,file,,missing,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/21_hist_required_monomer_021/calibration/calibration_values.json,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,place calibration value ledger at source_path,calibration value ledger
21,hist_REQUIRED_MONOMER_021,replacement_target_id,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,replacement_benchmark_id,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,target_identity_non_current_historical,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,prediction_created_at,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,native_release_date,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,prediction_generated_before_native_release,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,public_template_or_native_used_for_prediction,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,other_team_model_used,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,post_release_information_used,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
21,hist_REQUIRED_MONOMER_021,operator_clearance,operator_value,,operator_required,,casp17/historical_seed_strict_blind_replacement_intake/21_hist_required_monomer_021/replacement_candidate_intake.csv,fill and clear this value in replacement_candidate_intake.csv,required non-file strict-blind intake value
