quality_rank,target_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,confidence_score,mean_b_iso,median_b_iso,min_b_iso,low_conf_atom_fraction,high_conf_atom_fraction,geometry_outlier_score,radius_of_gyration,bbox_diagonal,centroid_spread,diversity_to_model1_rmsd,nearest_top5_rmsd,top5_selection_rank,model1_candidate,top5_candidate,model_selection_status,model_cif_path,viewer_html_path,projection_svg_path,model_review_md_path,rerank_model_folder,blockers,claim_boundary
1,H2312,122,7550,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,afm_basic_v1,0,5,11,101.58484,92.03,94.43,47.68,0.00141,0.96902,2.679,33.759,179.184,0.842,0.0,2.787,1,True,True,model1_candidate,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/model.cif,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_122_afm_basic_v1_model_7550/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2312/top5/rank_01_selection_122_afm_basic_v1,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
2,H2312,12,6050,Model_6050_cf_woTemplates_model_5_multimer_v1_pred_26.pdb,cf_woTemplates_v1,0,5,26,101.50354,92.105,94.69,41.84,0.00739,0.96577,2.784,33.631,179.275,0.687,56.614,55.791,2,False,True,top5_candidate,casp17/massivefold_representative_viewers/h2312/selection_012_cf_woTemplates_v1_model_6050/model.cif,casp17/massivefold_representative_viewers/h2312/selection_012_cf_woTemplates_v1_model_6050/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_012_cf_woTemplates_v1_model_6050/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_012_cf_woTemplates_v1_model_6050/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2312/top5/rank_02_selection_012_cf_woTemplates_v1,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
3,H2312,49,8491,Model_8491_afm_basic_model_5_multimer_v1_pred_2.pdb,afm_basic_v1,0,5,2,101.463,91.879,94.29,48.6,0.00106,0.96946,2.235,33.692,181.227,0.891,1.622,1.622,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_049_afm_basic_v1_model_8491/model.cif,casp17/massivefold_representative_viewers/h2312/selection_049_afm_basic_v1_model_8491/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_049_afm_basic_v1_model_8491/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_049_afm_basic_v1_model_8491/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
4,H2312,130,6031,Model_6031_cf_woTemplates_model_5_multimer_v1_pred_8.pdb,cf_woTemplates_v1,0,5,8,101.45278,92.041,94.62,40.59,0.00686,0.96401,2.278,33.616,181.362,1.517,3.4,3.4,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_130_cf_woTemplates_v1_model_6031/model.cif,casp17/massivefold_representative_viewers/h2312/selection_130_cf_woTemplates_v1_model_6031/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_130_cf_woTemplates_v1_model_6031/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_130_cf_woTemplates_v1_model_6031/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
5,H2312,102,8105,Model_8105_afm_basic_model_5_multimer_v1_pred_66.pdb,afm_basic_v1,0,5,66,101.43828,91.894,94.39,46.95,0.00334,0.96938,2.068,33.785,181.526,0.693,1.542,1.542,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_102_afm_basic_v1_model_8105/model.cif,casp17/massivefold_representative_viewers/h2312/selection_102_afm_basic_v1_model_8105/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_102_afm_basic_v1_model_8105/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_102_afm_basic_v1_model_8105/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
6,H2312,42,8225,Model_8225_afm_basic_model_5_multimer_v1_pred_23.pdb,afm_basic_v1,0,5,23,101.38296,91.877,94.31,48.24,0.00202,0.96498,2.586,33.776,179.49,0.702,2.88,2.88,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_042_afm_basic_v1_model_8225/model.cif,casp17/massivefold_representative_viewers/h2312/selection_042_afm_basic_v1_model_8225/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_042_afm_basic_v1_model_8225/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_042_afm_basic_v1_model_8225/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
7,H2312,16,8514,Model_8514_afm_basic_model_5_multimer_v1_pred_36.pdb,afm_basic_v1,0,5,36,101.37786,91.843,94.32,47.71,0.00326,0.96815,2.036,33.809,183.758,0.952,4.071,2.91,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_016_afm_basic_v1_model_8514/model.cif,casp17/massivefold_representative_viewers/h2312/selection_016_afm_basic_v1_model_8514/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_016_afm_basic_v1_model_8514/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_016_afm_basic_v1_model_8514/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
8,H2312,40,6059,Model_6059_cf_woTemplates_model_5_multimer_v1_pred_52.pdb,cf_woTemplates_v1,0,5,52,101.0231,91.662,94.5,40.81,0.00739,0.96181,2.73,33.555,179.797,0.797,56.446,2.844,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_040_cf_woTemplates_v1_model_6059/model.cif,casp17/massivefold_representative_viewers/h2312/selection_040_cf_woTemplates_v1_model_6059/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_040_cf_woTemplates_v1_model_6059/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_040_cf_woTemplates_v1_model_6059/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
9,H2312,124,6014,Model_6014_cf_woTemplates_model_5_multimer_v1_pred_62.pdb,cf_woTemplates_v1,0,5,62,100.9727,91.706,94.56,41.09,0.00792,0.95935,4.21,33.694,173.321,0.91,56.583,3.079,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_124_cf_woTemplates_v1_model_6014/model.cif,casp17/massivefold_representative_viewers/h2312/selection_124_cf_woTemplates_v1_model_6014/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_124_cf_woTemplates_v1_model_6014/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_124_cf_woTemplates_v1_model_6014/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
10,H2312,93,6069,Model_6069_cf_woTemplates_model_5_multimer_v1_pred_17.pdb,cf_woTemplates_v1,0,5,17,100.96882,91.65,94.5,40.44,0.00739,0.95917,3.127,33.639,177.874,1.426,5.953,3.134,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2312/selection_093_cf_woTemplates_v1_model_6069/model.cif,casp17/massivefold_representative_viewers/h2312/selection_093_cf_woTemplates_v1_model_6069/viewer.html,casp17/massivefold_representative_viewers/h2312/selection_093_cf_woTemplates_v1_model_6069/projection.svg,casp17/massivefold_representative_viewers/h2312/selection_093_cf_woTemplates_v1_model_6069/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
