atlas_protein_key,atlas_object_key,source_lane,target_id,protein_name,object_id,materialization_status,materialization_mode,source_coordinate_path,source_coordinate_format,source_coordinate_present,source_sha256,source_bytes,materialized_protein_folder,materialized_object_folder,materialized_coordinate_folder,materialized_coordinate_path,materialized_coordinate_present,materialized_sha256,materialized_bytes,sha256_match,symlink_target,object_manifest,object_readme,protein_manifest,blockers,next_action,claim_boundary
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_A,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_A,coordinate_materialized,symlink,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,pdb,true,836bacbcf2d6b0a3fa6f89624577685f5c801b2f5bc324fb3c0210175f6172b2,283827,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/coordinates/H1335_chain_A.pdb,true,836bacbcf2d6b0a3fa6f89624577685f5c801b2f5bc324fb3c0210175f6172b2,283827,true,../../../../targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_B,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_B,coordinate_materialized,symlink,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,pdb,true,d6c7c9431fd51b9035fa66922170067d52783fa53da60979fdd258a6c0b69bd4,438193,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/coordinates/H1335_chain_B.pdb,true,d6c7c9431fd51b9035fa66922170067d52783fa53da60979fdd258a6c0b69bd4,438193,true,../../../../targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_C,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_C,coordinate_materialized,symlink,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,pdb,true,ce47fb21909359778d7f041ce13ce4e77acdb118887fe38cc5d00ad2f8ae669a,153161,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/coordinates/H1335_chain_C.pdb,true,ce47fb21909359778d7f041ce13ce4e77acdb118887fe38cc5d00ad2f8ae669a,153161,true,../../../../targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_D,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_D,coordinate_materialized,symlink,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,pdb,true,bad843c1281dc34d60041ce4420557d263880b7ca85d891d2919cf985a773251,130409,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/coordinates/H1335_chain_D.pdb,true,bad843c1281dc34d60041ce4420557d263880b7ca85d891d2919cf985a773251,130409,true,../../../../targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_E,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_E,coordinate_materialized,symlink,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,pdb,true,5d1ed0420ab4d1f81145fd904b13131a5aa005f90d01b34fc8356cf558f9759d,135386,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/coordinates/H1335_chain_E.pdb,true,5d1ed0420ab4d1f81145fd904b13131a5aa005f90d01b34fc8356cf558f9759d,135386,true,../../../../targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_A,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_A,coordinate_materialized,symlink,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,pdb,true,b2982836237f51b8a54fd10eddf2a90b6e2f09f4aea23c0b9314bb07e59a32a9,279403,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/coordinates/H1340_chain_A.pdb,true,b2982836237f51b8a54fd10eddf2a90b6e2f09f4aea23c0b9314bb07e59a32a9,279403,true,../../../../targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_B,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_B,coordinate_materialized,symlink,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,pdb,true,bea0d12a0652c717f2f6652db731a295357eda9238189fc15d82f4d961c24385,72502,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/coordinates/H1340_chain_B.pdb,true,bea0d12a0652c717f2f6652db731a295357eda9238189fc15d82f4d961c24385,72502,true,../../../../targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_C,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_C,coordinate_materialized,symlink,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,pdb,true,fbd695761d2b2dbcacd45231a938702dab28957dbef7509e6112467f16939440,64839,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/coordinates/H1340_chain_C.pdb,true,fbd695761d2b2dbcacd45231a938702dab28957dbef7509e6112467f16939440,64839,true,../../../../targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1340_Parahenipavirus_F_protein_antibody_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,current_chain_A,current_object_library,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_A,coordinate_materialized,symlink,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,pdb,true,b17acf73c938705e506a122eee610153f2cd9ad3fbfdc4c79d13d735d3ec9878,140442,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/coordinates/H1343_chain_A.pdb,true,b17acf73c938705e506a122eee610153f2cd9ad3fbfdc4c79d13d735d3ec9878,140442,true,../../../../targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,current_chain_B,current_object_library,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_B,coordinate_materialized,symlink,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,pdb,true,ec397a1f140d7b55e38dc1e29b4829488d491cc00b774d34344597f9f2f1cc0f,128829,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/coordinates,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/coordinates/H1343_chain_B.pdb,true,ec397a1f140d7b55e38dc1e29b4829488d491cc00b774d34344597f9f2f1cc0f,128829,true,../../../../targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/coordinate_manifest.json,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/README.md,casp17/3d_molecular_object_coordinate_materialized_library/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_coordinate_manifest.json,,Use this per-object materialized coordinate for local 3D review.,"CASP17 3D molecular object coordinate materialized library only. It materializes each source coordinate model from the dry-run plan into a protein-name/object folder with sha256 verification. The default symlink mode avoids duplicating raw coordinate bytes. It does not alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
