target_id,protein_name,target_folder,protein_object_folder,raw_ranked_model_path,model_rank,file_status,quarantine_status,author_record_present,model_record_count,atom_record_count,hetatm_record_count,ter_record_count,line_count,file_size_bytes,object_library_status,object_folder_count,next_action,blockers
H1354,hemagglutinin/antibody,casp17/targets_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/targets_current/H1354_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1354_model_1.pdb,1,present,quarantined_do_not_commit_raw_pdb,false,0,726,0,3,732,59040,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1354,hemagglutinin/antibody,casp17/targets_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/targets_current/H1354_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1354_model_2.pdb,2,present,quarantined_do_not_commit_raw_pdb,false,0,726,0,3,732,59040,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1354,hemagglutinin/antibody,casp17/targets_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/targets_current/H1354_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1354_model_3.pdb,3,present,quarantined_do_not_commit_raw_pdb,false,0,726,0,3,732,59040,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1354,hemagglutinin/antibody,casp17/targets_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/targets_current/H1354_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1354_model_4.pdb,4,present,quarantined_do_not_commit_raw_pdb,false,0,726,0,3,732,59040,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1354,hemagglutinin/antibody,casp17/targets_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/targets_current/H1354_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1354_model_5.pdb,5,present,quarantined_do_not_commit_raw_pdb,false,0,726,0,3,732,59040,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1355,hemagglutinin/antibody,casp17/targets_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/targets_current/H1355_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1355_model_1.pdb,1,present,quarantined_do_not_commit_raw_pdb,false,0,708,0,3,714,57582,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1355,hemagglutinin/antibody,casp17/targets_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/targets_current/H1355_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1355_model_2.pdb,2,present,quarantined_do_not_commit_raw_pdb,false,0,708,0,3,714,57582,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1355,hemagglutinin/antibody,casp17/targets_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/targets_current/H1355_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1355_model_3.pdb,3,present,quarantined_do_not_commit_raw_pdb,false,0,708,0,3,714,57582,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1355,hemagglutinin/antibody,casp17/targets_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/targets_current/H1355_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1355_model_4.pdb,4,present,quarantined_do_not_commit_raw_pdb,false,0,708,0,3,714,57582,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H1355,hemagglutinin/antibody,casp17/targets_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/targets_current/H1355_hemagglutinin_antibody/metadata/internal_physics_job/ranked_raw_models/H1355_model_5.pdb,5,present,quarantined_do_not_commit_raw_pdb,false,0,708,0,3,714,57582,linked,3,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H2332,Fab 047-09_1A02 binding influenza virus H1 HA,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA,casp17/protein_object_library_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/metadata/internal_physics_job/ranked_raw_models/H2332_model_1.pdb,1,present,quarantined_do_not_commit_raw_pdb,false,0,704,0,4,711,57285,linked,4,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
H2332,Fab 047-09_1A02 binding influenza virus H1 HA,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA,casp17/protein_object_library_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA,casp17/targets_current/H2332_Fab_047_09_1A02_binding_influenza_virus_H1_HA/metadata/internal_physics_job/ranked_raw_models/H2332_model_2.pdb,2,present,quarantined_do_not_commit_raw_pdb,false,0,704,0,4,711,57285,linked,4,keep raw PDB quarantined; use reviewed object folders/viewers for commit-safe molecular inspection,
