target_id,benchmark_id,field_name,required_value_policy,current_value,weak_local_hint,weak_local_hint_source,evidence_ref,operator_value,operator_clearance,value_status,clearance_status,policy_status,field_gate_status,first_blocker,next_action
HIST_CHIGNOLIN,hist_seed_chignolin,no_leak_evidence_ref,independent_no_leak_evidence_ref_required,,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for no_leak_evidence_ref
HIST_CHIGNOLIN,hist_seed_chignolin,leakage_clearance,clear,REQUIRED_NO_LEAK_CLEARANCE,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for leakage_clearance
HIST_CHIGNOLIN,hist_seed_chignolin,operator_clearance,operator_cleared,REQUIRED_OPERATOR_CLEARANCE,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for operator_clearance
HIST_CHIGNOLIN,hist_seed_chignolin,operator,operator_id,REQUIRED_OPERATOR_ID,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for operator
HIST_CHIGNOLIN,hist_seed_chignolin,prediction_created_at,iso_date,YYYY-MM-DD,2026-02-19,prediction_path_date,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for prediction_created_at
HIST_CHIGNOLIN,hist_seed_chignolin,native_release_date,authoritative_release_iso_date,YYYY-MM-DD,2026-02-12,native_file_mtime_not_release_authority,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for native_release_date
HIST_CHIGNOLIN,hist_seed_chignolin,prediction_generated_before_native_release,true,REQUIRED_TRUE_CONFIRMATION,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for prediction_generated_before_native_release
HIST_CHIGNOLIN,hist_seed_chignolin,public_template_or_native_used_for_prediction,false,REQUIRED_FALSE_CONFIRMATION,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for public_template_or_native_used_for_prediction
HIST_CHIGNOLIN,hist_seed_chignolin,other_team_model_used,false,REQUIRED_FALSE_CONFIRMATION,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for other_team_model_used
HIST_CHIGNOLIN,hist_seed_chignolin,post_release_information_used,false,REQUIRED_FALSE_CONFIRMATION,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,awaiting_operator_input,operator_value_missing,fill operator_value for post_release_information_used
