quality_rank,target_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,confidence_score,mean_b_iso,median_b_iso,min_b_iso,low_conf_atom_fraction,high_conf_atom_fraction,geometry_outlier_score,radius_of_gyration,bbox_diagonal,centroid_spread,diversity_to_model1_rmsd,nearest_top5_rmsd,top5_selection_rank,model1_candidate,top5_candidate,model_selection_status,model_cif_path,viewer_html_path,projection_svg_path,model_review_md_path,rerank_model_folder,blockers,claim_boundary
1,H2321,86,3,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,afm_dropout_full_v3,0,2,48,102.10998,92.617,95.64,45.2,0.00203,0.96779,3.608,31.259,144.998,0.619,0.0,32.155,1,True,True,model1_candidate,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2321/top5/rank_01_selection_086_afm_dropout_full_v3,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
2,H2321,55,2,Model_2_afm_dropout_full_model_1_multimer_v3_pred_29.pdb,afm_dropout_full_v3,0,1,29,101.79874,92.194,95.15,58.02,0.0,0.97121,2.684,30.157,162.716,0.64,53.907,42.673,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2321/selection_055_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2321/selection_055_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_055_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_055_afm_dropout_full_v3_model_2/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
3,H2321,32,4,Model_4_afm_dropout_full_model_2_multimer_v3_pred_18.pdb,afm_dropout_full_v3,0,2,18,101.7757,92.306,95.59,43.46,0.00203,0.96627,3.81,31.204,144.408,0.432,43.219,30.55,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2321/selection_032_afm_dropout_full_v3_model_4/model.cif,casp17/massivefold_representative_viewers/h2321/selection_032_afm_dropout_full_v3_model_4/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_032_afm_dropout_full_v3_model_4/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_032_afm_dropout_full_v3_model_4/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
4,H2321,52,1,Model_1_afm_dropout_full_model_1_multimer_v3_pred_64.pdb,afm_dropout_full_v3,0,1,64,101.70682,92.205,95.21,45.31,0.0038,0.97007,3.072,29.904,152.559,0.828,45.077,30.904,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2321/selection_052_afm_dropout_full_v3_model_1/model.cif,casp17/massivefold_representative_viewers/h2321/selection_052_afm_dropout_full_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_052_afm_dropout_full_v3_model_1/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_052_afm_dropout_full_v3_model_1/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
5,H2321,53,14,Model_14_afm_basic_model_1_multimer_v2_pred_43.pdb,afm_basic_v2,0,1,43,101.4412,91.961,95.11,44.15,0.00292,0.96602,3.04,33.454,162.81,0.787,32.155,32.155,2,False,True,top5_candidate,casp17/massivefold_representative_viewers/h2321/selection_053_afm_basic_v2_model_14/model.cif,casp17/massivefold_representative_viewers/h2321/selection_053_afm_basic_v2_model_14/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_053_afm_basic_v2_model_14/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_053_afm_basic_v2_model_14/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2321/top5/rank_02_selection_053_afm_basic_v2,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
6,H2321,93,5,Model_5_afm_dropout_full_model_2_multimer_v2_pred_42.pdb,afm_dropout_full_v2,0,2,42,101.13708,91.655,95.16,46.93,0.00178,0.9617,2.483,31.378,166.795,0.48,41.408,41.408,3,False,True,top5_candidate,casp17/massivefold_representative_viewers/h2321/selection_093_afm_dropout_full_v2_model_5/model.cif,casp17/massivefold_representative_viewers/h2321/selection_093_afm_dropout_full_v2_model_5/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_093_afm_dropout_full_v2_model_5/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_093_afm_dropout_full_v2_model_5/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2321/top5/rank_03_selection_093_afm_dropout_full_v2,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
7,H2321,125,70,Model_70_afm_basic_model_4_multimer_v3_pred_64.pdb,afm_basic_v3,0,4,64,100.98888,91.569,94.88,44.8,0.00203,0.95866,3.153,31.96,146.58,0.198,39.181,30.788,4,False,True,top5_candidate,casp17/massivefold_representative_viewers/h2321/selection_125_afm_basic_v3_model_70/model.cif,casp17/massivefold_representative_viewers/h2321/selection_125_afm_basic_v3_model_70/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_125_afm_basic_v3_model_70/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_125_afm_basic_v3_model_70/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2321/top5/rank_04_selection_125_afm_basic_v3,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
8,H2321,92,6,Model_6_afm_dropout_full_model_3_multimer_v2_pred_12.pdb,afm_dropout_full_v2,0,3,12,100.98418,91.54,94.92,43.25,0.0038,0.95739,1.343,31.89,162.275,0.629,55.943,45.854,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2321/selection_092_afm_dropout_full_v2_model_6/model.cif,casp17/massivefold_representative_viewers/h2321/selection_092_afm_dropout_full_v2_model_6/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_092_afm_dropout_full_v2_model_6/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_092_afm_dropout_full_v2_model_6/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
9,H2321,68,15,Model_15_afm_dropout_full_model_3_multimer_v3_pred_61.pdb,afm_dropout_full_v3,0,3,61,100.957,91.584,95.06,42.9,0.00774,0.96094,2.04,31.12,163.993,0.574,43.843,29.541,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2321/selection_068_afm_dropout_full_v3_model_15/model.cif,casp17/massivefold_representative_viewers/h2321/selection_068_afm_dropout_full_v3_model_15/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_068_afm_dropout_full_v3_model_15/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_068_afm_dropout_full_v3_model_15/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
10,H2321,64,9,Model_9_afm_dropout_full_model_3_multimer_v2_pred_62.pdb,afm_dropout_full_v2,0,3,62,100.5923,91.121,94.44,45.72,0.00304,0.95651,0.825,31.921,160.081,0.518,41.514,23.925,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2321/selection_064_afm_dropout_full_v2_model_9/model.cif,casp17/massivefold_representative_viewers/h2321/selection_064_afm_dropout_full_v2_model_9/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_064_afm_dropout_full_v2_model_9/projection.svg,casp17/massivefold_representative_viewers/h2321/selection_064_afm_dropout_full_v2_model_9/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
