dropzone_id,operator_priority,row_rank,scope,file_rank,evidence_class,template_column,identity_status,proposed_target_id,source_path,recommended_drop_filename,canonical_destination_path,file_source_status,blocker,source_sha256,next_action
priority_001_REQUIRED_MONOMER_001,1,1,monomer,1,core_file,prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,2,core_file,native_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,3,ablation_file,recursive_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,4,ablation_file,scored_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,5,ablation_file,sidechain_scaffold_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,6,ablation_file,sidechain_repacked_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,7,ablation_file,sidechain_completed_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,8,ablation_file,steric_relaxed_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,9,ablation_file,rotamer_minimized_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,10,ablation_file,polar_refined_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,11,ablation_file,forcefield_minimized_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,12,ablation_file,statistical_rotamer_prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,13,core_file,prediction_pdb,awaiting_identity,,,,,waiting_on_identity,target_identity_required,,fill and apply the compact identity unlock kit first
