row_kind,lock_status,target_id,queue_rank,folder_path,source_surface_id,manifest_status,operator_value_count,operator_value_fields,first_operator_value_field,blockers,next_action
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1344,1,casp17/current_upload_operator_decision_kit/01_h1344,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H2321,2,casp17/current_upload_operator_decision_kit/02_h2321,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1346,3,casp17/current_upload_operator_decision_kit/03_h1346,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1347,4,casp17/current_upload_operator_decision_kit/04_h1347,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1348,5,casp17/current_upload_operator_decision_kit/05_h1348,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1349,6,casp17/current_upload_operator_decision_kit/06_h1349,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1354,7,casp17/current_upload_operator_decision_kit/07_h1354,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
active_upload_target,active_manifest_locked_awaiting_operator_decision,H1355,8,casp17/current_upload_operator_decision_kit/08_h1355,current_upload_operator_decision_kit,active_manifest,0,,,,enter operator decision only in the active decision intake row
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/01_h2319_human_astrovirus_va1_capsid_spike_-_antibody_7c8_complex,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/02_t1342_spike_glycoprotein_ectodomain,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/03_h1344_hsv_gd_-_hab72,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/04_h2321_human_astrovirus_va1_capsid_spike_-_antibody_2a2_complex,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/05_h1346_regn3753_fab-fab_complex,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/06_h1347_regn15499_fab-fab_complex,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/07_h1348_gp130_antibody_complex,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/08_h1349_gp130_antibody_complex,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/09_h1354_hemagglutinin_antibody,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,,0,casp17/current_upload_review_packet/10_h1355_hemagglutinin_antibody,current_upload_review_packet,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
stale_generated_folder,stale_folder_readonly_no_operator_values,H2319,0,casp17/current_upload_operator_decision_kit/01_h2319,current_upload_operator_decision_kit,stale_not_active_manifest,0,,,,keep stale folder read-only or clean it up only after operator approval
